#LUME VERSION, 0.54
#2848 point's captured data set in LUME at: 1/11/2020 : 4:19:13 pm
frame,x,y,z,int
903,20021,5372.6,83.084,3226.9
904,20001,5355.1,59.657,4164.2
906,19992,5374.3,43.276,1945.1
920,18762,8549.7,-49.544,1011.7
931,19673,6364.8,134.23,1049.8
931,19154,7629.4,100.19,3654.4
933,19145,7634.9,-51,542.2
965,20367,4402,-95.366,1293.6
983,18229,9597.4,9.6923,580.63
984,18268,9608.5,53.736,5755.3
1005,19987,5494.2,51.17,7660.5
1006,20291,4848.8,-40.637,2015.9
1007,20270,4830.4,-40.7,1910.7
1008,20250,4753.9,-37.756,1414.1
1009,19920,5692,88.592,6807.4
1037,18728,8752.9,54.994,3103.2
1057,20516,3929,-215.55,3928.5
1059,20581,3901.2,-134.31,1536.6
1060,18505,9098.8,45.391,3801.8
1061,20527,3939.5,-225.81,1615.1
1062,20510,3925.5,-180.01,920.21
1067,19660,6460.9,74.607,1808
1069,19642,6440.4,117.93,8282.6
1073,19642,6422.3,117.12,4549.5
1087,18611,8804.2,29.799,497.04
1088,18618,8842.6,63.113,18478
1092,18620,8843,69.12,17433
1095,20155,4935.4,-41.781,1056
1096,18599,8845.6,58.687,1357.1
1106,18737,8647.9,107.77,1022.5
1107,18753,8672.3,52.433,3392
1116,19723,6273,64.635,478.25
1117,19693,6268,112.06,3401.2
1120,19242,7343.9,71.004,3972.2
1129,19984,5538.6,67.455,10064
1133,19991,5528.7,80.667,10920
1135,19178,7728.1,73.928,1399.6
1137,19988,5546.6,77.672,4052
1154,18051,10127,23.01,975.62
1172,18961,8182.5,133.65,2127.4
1174,18956,8203.4,69.759,4569.8
1177,18954,8202,76.681,3695.6
1178,18947,8185.9,133.9,1511.2
1194,18246,9687.6,25.299,4038.6
1226,19611,6435.3,147.98,3016.4
1257,18621,8845.9,65.594,4137.1
1258,19415,7042.9,153.63,5869.7
1264,19196,7578.2,34.203,1077.2
1264,19624,6401.2,107.75,1399.1
1279,19980,5440.6,25.8,6523.5
1292,19636,6471.7,96.663,1984.6
1293,19636,6453.3,166.9,1988.4
1314,18814,8470.8,98.019,6122.9
1320,19947,5141.2,26.518,409.84
1321,19928,5127.7,-25.832,602.9
1333,17930,10362,-26.015,6115.3
1337,18233,9685.4,56.221,3326.9
1357,18231,9896.9,48.609,3998.5
1358,18138,9826.4,85.677,2591.2
1361,19698,6153.2,150.11,678.72
1363,19131,7785.8,15.664,954.49
1364,20180,5125,-42.561,1143.3
1364,19140,7767,64.477,4738.9
1365,20148,5103.6,-119.37,492.28
1370,19206,7599.4,64.523,1896.7
1424,20571,3885.8,-212.97,3625.1
1425,20554,3879,-229.83,1367.8
1432,18506,9139.7,72.309,309.33
1438,18476,9319.4,49.363,803.08
1439,18454,9295.5,55.739,2990
1458,19204,7401,105.87,13424
1472,19288,7311.3,87.435,2152.4
1481,19480,7038.6,61.717,952.45
1496,19931,4938.7,-38.751,728.72
1497,19911,4946.2,-98.665,1899.8
1504,19577,6494,97.789,876.19
1505,19599,6474.8,71.319,7135.6
1509,19605,6473.4,60.047,1554.2
1512,19059,7991.3,85.064,1988.9
1513,19054,7966.7,75.1,1190.3
1529,19090,7978.6,74.208,1378.6
1531,18194,9696.9,38.085,499.17
1533,18675,8748.6,27.616,285.03
1534,18706,8707.1,41.229,736.23
1535,19972,5499.1,1.3909,1356.2
1538,19989,5501.3,12.829,1886.7
1538,19989,5501.3,12.422,1861.3
1574,19909,5526.9,5.3897,1503.3
1581,20065,5113.7,-45.521,6821.1
1585,20056,5120.2,-19.935,7946.5
1589,20036,5121.7,-31.003,335.68
1590,20698,3770.1,-255.04,969.72
1605,19664,6193.3,69.301,574.64
1609,20424,4152.4,-97.821,1164.5
1617,19507,6795.6,44.595,903.2
1621,19747,6165.2,65.961,892.84
1622,19757,6165.8,134.13,6002.6
1623,19769,6199.5,131.96,1062.5
1629,19754,6154,117.06,1947.8
1631,19308,7188.3,152.3,1162.7
1632,19309,7232.8,68.191,1190.4
1645,19907,5513.7,2.3435,2846.7
1647,19933,5533.2,24.094,1211.8
1655,19292,7183.2,140.76,8364.1
1658,19282,7195.7,132.69,7541.7
1661,20289,4066.8,-137.5,4197.2
1665,20278,4059.5,-231.59,3416.6
1677,20539,3866.4,-182.12,2733.4
1691,20022,5411,22.773,10584
1692,18958,8180.6,76.606,1317.4
1693,18970,8203.9,63.726,1762
1694,18950,8200.5,104.95,6389.6
1697,18530,9093.7,70.056,8651.9
1698,18950,8202.2,55.864,599.85
1700,20024,5367.7,4.6439,751.91
1702,18530,9081.9,45.322,7702.2
1705,18489,9165.7,107.44,3552.5
1706,18531,9123.9,130.02,2854.5
1707,18533,9095.7,90.151,4671.6
1722,19973,5404,-20.171,375.66
1723,19995,5425.6,31.918,12451
1723,19994,5418.5,12.744,8384.3
1727,19983,5436.4,37.039,5016
1728,19413,6918.2,72.757,7381.4
1732,19413,6918.9,66.43,1733.2
1760,20008,5357.5,63.657,2457.9
1760,20403,4703.6,-97.338,1040.5
1761,20008,5317.7,100.88,309.03
1761,20288,4549.2,-113.19,3564.1
1762,19940,5623.9,59.511,411.11
1763,20296,4532.1,-123.99,1531.5
1763,19954,5641.4,71.946,5823.4
1765,19963,5660.2,56.655,2217.8
1771,18279,9555.3,59.396,15669
1780,20361,4404.1,-205.7,3214.4
1782,20350,4411.9,-191.69,1813.2
1790,18307,9499,57.724,1290.7
1794,18571,9091,53.889,656.65
1795,18591,9074.6,85.438,1775.9
1797,17984,10175,-123.38,4417.7
1816,20232,4662.3,-50.818,1277
1821,18269,9638.7,-15.716,763.8
1845,19271,7355.3,95.879,7917.5
1864,18224,9748.2,7.2834,448.19
1870,19396,7134.1,59.725,1961.5
1894,19637,6435.3,136.96,4286.7
1935,19393,7118.2,74.512,1354.6
1936,19406,7099.7,108.47,1489.3
1943,20302,4548.1,-82.732,2161.7
1952,19952,5503.5,73.883,3458.4
1956,18990,7879.3,-89.917,9507.7
1960,18989,7872.7,-60.616,3140.6
1966,20670,3748.2,-200.06,1097
1967,20619,3754.1,-230.08,2841.4
1969,20647,3731.9,-270.04,1840.9
1974,20131,5022.6,-58.345,5158.6
1975,20137,4996.1,-30.809,1681
1978,20133,5018.6,-24.359,4826.3
1987,18218,9774,19.439,3542.4
1992,19341,7289.7,73.331,1206
2004,19355,7261.8,97.956,480.15
2005,20018,5320.8,13.532,403.45
2005,19361,7223,78.176,10253
2008,20220,5099.1,-42.601,966.69
2010,19450,6955.7,47.904,2936.7
2018,20208,4728.8,-42.86,4172.1
2021,20240,4707.1,-35.18,5249.3
2034,20338,4378.4,-232.65,1924.5
2035,20357,4384.8,-141.79,798.96
2035,17991,10142,-2.9023,3051
2040,19325,7164.5,33.626,6882.1
2082,19070,8047.6,73.026,3557.8
2083,18419,9287.9,68.326,821.69
2083,19063,8072.4,87.52,5113
2083,20346,4044.4,-207.41,6080.1
2084,18451,9279.8,49.923,2995.7
2085,20312,4021.1,-133.68,1696
2086,20294,4031.7,-145.37,806.15
2087,19062,8062.5,108.68,3474.9
2089,19049,8071.3,87.954,3357
2089,20093,5235.3,-6.7795,4563.7
2090,18134,9854.8,-1.1882,12612
