#LUME VERSION, 0.54
#663 point's captured data set in LUME at: 1/11/2020 : 4:12:13 pm
x,y,z
11026,14447,-327.11
10962,14373,-241.42
10883,15140,-342.19
10992,14365,-265.89
10761,15181,-379.42
10511,13731,-332.93
11006,14448,-339.24
10391,13699,-241.76
10600,13793,-279.91
10451,13644,-236.4
10478,13644,-171.63
10504,13619,-231.12
10442,13674,-271.87
10441,13703,-246.02
10446,13634,-170.49
10476,13690,-217.23
10444,13673,-283.56
10494,13648,-220.81
10466,13675,-222.23
10451,13653,-234.74
10613,13785,-184.92
10741,15175,-295.96
10579,13729,-385.44
10761,15125,-227.25
10495,13741,-154.94
10564,13778,-237.42
10995,14640,-243.23
10845,14950,-240.25
10463,13656,-201.61
10901,14807,-261.07
10896,14814,-333
10952,14488,-354.23
10528,13793,-332.09
10783,15143,-329.06
10580,13719,-211.75
10907,14777,-200.34
10737,15169,-306.71
10962,14384,-319.26
10940,14012,-317.19
10973,14191,-330.78
10966,14651,-446.01
10899,14158,-296.84
10928,14551,-381.89
10925,14239,-257.54
10953,14761,-292.54
10919,14195,-297.12
10800,15032,-286.13
10993,14486,-341.31
10933,14883,-330.45
11014,14777,-108.27
10713,15163,-290.49
10872,14972,-199.14
10675,15109,-175.63
11000,14490,-313.84
10954,14156,-290.95
10803,15005,-347.83
10864,14903,-282.3
10937,14238,-342.13
10650,13762,-290.17
10816,15141,-269.7
10996,14608,-329.88
10958,14401,-341.67
10674,13813,-300.61
10647,13799,-286.38
11020,14512,-334.4
11018,14524,-336.63
10939,14119,-269.67
10845,15039,-267.15
11028,14233,-333.55
10760,15098,-293.19
10543,13805,-324.3
10611,13763,-242.67
11000,14697,-273.03
11001,14708,-267.19
10848,14667,-301.99
10874,14015,-315.16
10933,14509,-495.52
10615,13774,-204.31
10795,15023,-302.02
10839,15049,-272.42
10573,13717,-394.3
10643,13765,-246.08
11010,14281,-342.57
10977,14794,-301.15
10974,14667,-116.23
10928,14584,-300.5
10789,15079,-291.42
10398,13693,-246.28
10845,15034,-248.78
10838,15064,-256.84
10970,14453,-311.83
10781,15099,-293.89
10822,15140,-282.19
10807,15164,-327.48
10868,15110,-312.22
10855,14792,-145.79
10925,14319,-417.21
10850,15238,-296.25
10735,13983,-307.82
10471,13718,-198.1
10750,13964,-330.37
10795,14993,-273.08
10873,15026,-326.35
10912,14455,-350
10659,13885,-325.47
10873,14080,-278.54
10416,13684,-163.71
11004,14482,-241.3
10750,15163,-325.6
10752,15160,-291.33
10590,13761,-327.31
10922,14947,-315.07
10973,14096,-299.08
10357,13771,-202.89
11014,14284,-321.22
11047,14668,-464.83
10964,14591,-341.09
10857,14092,-254.12
10729,15122,-235.46
10909,14061,-323.14
10488,13735,-273.77
10982,14367,-324.04
11078,14474,-389.12
11023,14671,-396.83
10949,14937,-346.61
10867,14058,-382.38
10993,14560,-344.95
10999,14520,-312.23
10985,14334,-213.4
10932,14133,-313.47
10872,14850,-249.19
10368,13783,-262.1
10859,14814,-285.83
10582,13821,-279.08
10634,13902,-294.19
10967,14352,-371.88
10776,15090,-282.71
10819,13970,-311.4
10832,14902,-303.78
10403,13777,-194.85
11059,14661,-325.56
10692,13925,-272.54
10829,15123,-302.9
11020,14332,-299.47
11013,14286,-314.13
10968,14561,-357.55
10454,13713,-218.3
10965,14588,-347.52
10956,14621,-345.15
10981,14636,-319.89
10977,14621,-379.03
10975,14628,-340.05
10925,14618,-380.16
10638,13841,-250.21
10704,13905,-313.36
10965,14127,-303.85
10924,14122,-294.76
10932,14441,-337.52
10727,13997,-347.71
10999,14556,-312.88
11009,14318,-299.86
10785,15215,-284.55
10484,13706,-295.52
10501,13782,-255.36
10783,13973,-271.21
10907,14068,-268.96
10992,14494,-330.64
10839,14046,-228.82
10922,14908,-317.05
10543,13654,-304.24
10927,14323,-339.81
10992,14467,-298.17
10907,14311,-318.7
11009,14372,-317.08
10934,14325,-378.51
11031,14335,-380.11
11064,14240,-495.84
10735,15041,-118.82
10830,14004,-198.72
10606,13719,-178.13
10895,14015,-228.88
10910,14024,-270.48
10956,14805,-312.22
10898,14763,-301.91
10539,13710,-277.73
10504,13705,-230.22
10360,13756,-254.36
10945,14651,-256.86
10605,13817,-215.74
10573,13754,-225.73
10974,14309,-396.56
11094,14821,-183.9
10979,14432,-211.85
10577,13780,-183.02
10984,14241,-316.47
10805,13983,-290.09
10958,14826,-252.86
10838,15115,-300.37
10951,14845,-337.62
10963,14324,-274.41
10932,14442,-329.23
10949,14717,-300.96
10943,14673,-262.01
10952,14336,-219.67
10721,15050,-294.13
10907,13975,-374.02
10973,14187,-315.22
10579,13729,-160.92
10960,14733,-264.82
10805,15080,-236.51
10845,14785,-216.65
10869,14767,-220.97
10687,13823,-323.66
10745,13961,-269.42
11010,14455,-301.42
10957,14470,-326.83
10943,14618,-293.26
10602,13882,-423.29
10977,14309,-240.05
10998,14500,-423.73
10994,14411,-307.17
10873,15028,-328.6
10946,14650,-279.24
10857,15003,-387.93
10850,15048,-365.64
10461,13675,-230.46
10936,14636,-269.73
11051,14251,-293.56
10921,14861,-322.74
11014,14464,-276.52
10901,14804,-231.1
11016,14559,-276.03
10354,13784,-230.26
10882,14653,-298.57
10731,15126,-296.31
11026,14517,-355.34
10967,14726,-392.31
11015,14553,-371.04
10945,14585,-334.82
10941,14585,-211.36
10562,13720,-136.63
10999,14534,-354.3
10915,14098,-308.52
11001,14188,-350.92
10907,14923,-311.47
10928,14620,-349.19
10974,14279,-248.53
10907,14786,-195.38
10621,13765,-288.73
10964,14647,-296.76
10858,14981,-290.96
10583,13838,-231.48
10950,14385,-314.87
10959,14258,-285.61
11011,14562,-322.69
11030,14600,-278.96
11006,14518,-344.12
10679,13884,-294.47
10495,13640,-162.92
10937,14142,-355.55
10946,14374,-326.74
10974,14404,-182.47
10953,14485,-343.13
10944,14176,-273.63
10998,14261,-264.84
