x,y,z
8660.5,11985,-53.388
8637.2,11949,-224.29
10931,14316,-384.28
8553.4,11979,-353.63
8554.9,11908,-261.89
8625.1,11974,-225.94
9738.3,13131,-79.187
8663.3,11812,-276.75
9679.9,13240,-305.9
8396.9,12153,-336.11
8417.6,10525,-338.64
8121.5,11444,-21.239
8246.9,11450,-112.1
8401.9,10541,-360.4
8387,10511,-320.22
8411.6,11539,95.206
9220.3,13291,-434.79
8439.7,11709,236.89
9334.1,13498,-220.11
9077.8,13126,229.24
8471.3,11772,240.21
8935.5,13076,-311.87
8767.6,12315,53.607
9879.5,13736,-140.51
8553.8,12471,-181.74
8664.1,11331,-235.56
9841.6,13499,231.16
8074.5,11655,-164.24
8643.2,11103,-211.58
8627.5,12686,-157.96
8403,10526,-103.64
8765,12521,86.12
10017,13419,-369.38
8822.5,12311,27.721
9275.3,13331,-399.71
8267.3,11285,-149.85
8665.5,12717,118.18
8287,11263,-59.181
10198,13457,-285.66
9494,12991,-80.13
8788.6,12475,-278.93
9354.8,13479,-240.75
9437.6,13112,-324.79
8727.6,12377,-234.6
9954.9,13363,174.37
9822.5,13384,-486.98
8154.4,11772,299.05
8533.9,11491,240.33
8812.7,12731,205.73
8263,11079,58.874
10998,14243,-352.31
9848.2,13636,-362.41
8327.6,11370,-294.48
9508.1,13319,-375.04
8351.7,10509,-16.543
8407.4,11442,-256.2
8327.6,11373,-324.74
8393.7,11384,-270.45
8266.3,11390,-367.55
8307.1,11358,-359.61
9225,13027,245.19
10180,13405,94.329
10091,13580,143.13
8886.2,12530,-264.48
8358.6,10932,181.32
8843.4,12524,-201.92
9916.6,13405,225.06
10182,13355,-98.33
8487.1,11468,248.99
10176,13391,-142.58
8587.3,11956,-379.26
8435.2,10526,-296.34
8761.9,12767,-307.62
8434.5,10479,-278.66
8733.9,11926,-134.87
8471.1,10461,-269.66
8476.2,10487,-236.79
9764.9,13486,284.3
8393.5,10485,-330.71
8536.2,11497,259.87
8523.8,10440,-234.66
8769.1,12217,-289.08
8813.8,12251,-244.46
9031.1,13368,403.63
8778.7,12215,-276.09
8284,11336,-283.95
8727.5,12248,-170.61
8338.1,11460,289.69
8523.3,12430,-215.87
8300.9,11771,-179.72
8307.2,10778,20.765
10347,13666,-345.33
8242.2,11223,-308.84
8255,11253,-309.9
8282.3,11259,-377.54
9612.2,13594,283.84
9441,13380,-405.49
8276.7,11247,-325.52
9942.2,13245,75.041
8263.1,11245,-312.88
8820.9,12843,-397.56
8349.5,11289,-255.65
8709.6,12650,-251.7
8255,11277,-344.31
10997,14384,-335.06
8044.1,11414,-271.64
8794.5,12306,37.728
8789.6,12277,-12.545
8663.9,11205,101.99
10001,13526,178.43
8689.9,11209,73.069
9129.3,13373,-89.126
8435.1,10505,-297.77
8408.8,10465,-329.85
8712,12911,70.115
10818,14926,-306.09
8499.4,10692,-9.007
8425.6,11599,-375.72
8615,12588,-185.13
8056.8,11683,-220.55
8615.7,12440,-218.87
10448,13693,-148.89
9152.1,13005,-361.45
9210.7,13299,-362.58
8209.2,11462,188.24
8587.1,12109,-192.17
10003,13548,-407.52
8625.8,12754,-100.27
10010,13452,-455.19
10031,13431,-373.79
8358.3,11065,-386.85
8350.9,11065,-351.67
10812,15171,-254.07
8522.8,10498,-270.74
10621,13847,-254.96
9269.2,12874,94.836
8182.3,11265,-52.469
9500.4,13227,-314
9482.3,13049,134.55
9835.7,13568,-171.28
9911.6,13350,288.53
9602.8,13389,-347.49
8575.2,12356,51.168
9806.6,13600,-343.1
8856.9,13175,35.653
8805.4,12627,-21.124
8615.3,11100,-267.48
8673.1,11992,121.74
9494.1,13405,231.26
10782,15174,-292.06
8207.2,11411,79.895
8571.6,11106,-250.64
9808.8,13645,-349.02
8241.4,11339,199.02
8319.7,12195,-64.433
8640,11930,251.22
8324.9,11579,78.12
9965.3,13241,38.582
8717.3,12445,123.88
8175.1,11698,108.71
8162.5,11776,-18.483
8574.3,10814,-86.062
8299.4,12264,6.9996
8294.6,12322,64.741
8306.1,12282,43.482
9529.7,13074,152.52
8388.8,12367,-70.295
11009,14418,-316.56
9480.2,13093,-332.13
9553.3,13250,-351.85
9604.9,13368,-393.16
8467,11721,331.28
9598.4,13345,-371.75
8174.6,10876,114.86
8201.6,10878,90.734
9649.6,13268,-381.48
8220.4,10865,119.36
9695.4,13255,-345.59
9678.6,13285,-363.93
8206,10729,-68.89
8906.3,12896,-380.77
8626.5,11122,-1.8113
8416.9,11235,-250.62
8305.3,12222,53.97
8641.2,11874,-322.9
8621.5,11917,-346.08
10372,13690,-201.3
8626,11906,-338.24
8617.6,11894,-334.68
8295.7,10974,-195.28
11007,14496,-396.82
8260.5,11487,200.33
9781.5,13459,-426.93
9715.7,13504,-396.99
9648.1,13473,-350.82
9689.4,13457,-412.66
10134,13694,-216.13
9319.5,13545,-10.157
8258.6,12164,-118.29
9610.2,13470,-426.54
8239.8,11505,174.29
9689,13410,-399.28
8357.4,10925,295.99
9710.1,13390,-315.29
10027,13491,323.85
8963.9,12983,241.92
8458.6,12054,156.34
8308.4,12264,103.25
8201.1,11721,-241.8
10302,13605,-25.866
8310.5,12290,15.786
9752.8,13131,44.155
8297.4,12292,31.801
8306.7,12310,53.678
9734.3,13145,76.99
8326.2,12297,-3.901
9857.4,13423,-386.13
8351.5,12291,60.808
9480.4,13357,-386.14
8531.3,11020,-298.8
8792.1,12213,77.177
10029,13661,197.61
10031,13665,172.04
10017,13371,97.456
9683.7,13449,-414.54
9686,13454,-395.64
8490.6,12272,-326.43
8332,12320,71.691
8317.8,12284,-25.579
8305.6,12279,39.276
8313.1,12281,53.954
10057,13673,137.77
10054,13671,130.48
10059,13664,170.49
8323.8,12291,56.917
8333,12296,25.467
8329.8,12297,70.906
8339.7,12282,72.566
10173,13398,-241.13
8971.4,12796,-332.07
8635.2,10902,-99.184
8576.1,11741,-364.17
8547.3,11240,-323.29
8513.8,11958,238.1
10815,15081,-341.4
9291.7,13499,-169.83
9189.4,13087,-368.28
10081,13725,115.75
10129,13399,-282.71
8302.6,10955,186.49
9509.7,13223,-364.86
9520.2,13233,-353.68
9523.8,13247,-361.94
9701.3,13455,-364.62
8607,11621,-343.8
8390,11749,-333.67
9266.3,13533,-104.53
8651.5,12260,-242.43
8471.2,10620,-391.37
8473.8,10595,-358.91
8475.7,10607,-354.74
8473,10602,-359.33
8469.7,10600,-350.06
8456.7,10594,-352.01
8497.4,10638,-308.34
9505.4,13049,184.7
8490.5,10637,-278.35
8283.2,12143,141.84
8236.6,12157,126.65
9203.6,13252,289.79
10163,13372,-319.35
10855,14027,-320.44
8571.4,11442,278.12
8579.9,11412,312.82
8647.6,12867,-174.5
8596.4,11545,243.85
10185,13382,-247.21
9547.6,13250,-409.96
8280.3,11897,135.78
9680.7,13461,-376.05
9962.8,13566,303.86
8500.6,10633,-377.1
9949.8,13552,290.36
9385.5,13238,196.4
8062.5,11396,-7.5085
9529.2,13094,51.797
10864,14776,-360.9
9231,13033,-438.15
8735.4,12650,171.71
8955.1,13389,-345.4
9817.4,13498,-311.68
8638.1,11179,-218.98
8276,12074,116.52
10534,13713,-211.89
8356.1,12186,182.34
9467.5,13070,157.18
9329.8,13372,-134.48
9115.9,13011,-370.07
10826,14984,-398.96
9764.2,13544,-311.4
8110.1,11897,109.48
8407.6,11912,321.35
9516.5,13292,-339.42
8455.7,12174,179.47
9740.9,13529,263
8585.9,12536,-157.9
9749.3,13744,77.751
9602.4,13092,-149.2
9859.8,13486,-381.27
8615.2,12545,-134.04
8335.4,10943,184.54
10139,13435,-238.64
8478.2,12342,-13.667
9466,13051,137.36
8182.3,11598,245.16
8148.5,11493,266.04
8253.5,11487,202.74
8232.9,11456,143.85
8238.5,11511,149.22
8221.1,11488,158.33
8242.4,11456,156.37
8234.5,11476,196.63
8532.6,11238,-353.78
9250.5,12941,-327.15
9842.7,13210,-201.96
8360.7,11665,246.86
9161.7,13437,58.985
8443,12268,-320.66
9958.3,13399,304.81
10005,13368,256.23
11060,14385,-331.22
8233.7,11518,-99.637
9613.8,13690,-70.489
8087.4,11455,109.3
8678.9,12574,-233.42
9858,13688,155.05
8723.8,12192,-264.6
8548.8,12270,231.97
8597.9,10908,73.274
10123,13776,-156.8
8441.6,10557,-87.483
9575,13298,-357.68
11037,14402,-314.33
11029,14396,-312.15
8454,10603,-219.2
9530.9,13224,-377.25
9499.9,13258,-382.34
9537.6,13347,-321.5
8545,11570,-291.6
9789.4,13234,-0.17327
8197.4,11473,-142.31
9447.6,13443,-42.04
10297,13677,-214.23
8453.8,12506,-162.64
8349.3,12403,-167.67
8087.8,10919,-79.452
9693.1,13446,-401.31
9705.5,13443,-431.92
8460,12464,72.278
8319.7,12231,-192.92
8306.3,11479,-351.09
9980.4,13322,-202.53
8485.2,12184,264.72
10969,14361,-355.06
8265,10722,-153.47
8774,11978,-11.415
8768.6,12193,127.84
8491,11396,-257.45
8235.1,11119,-186.87
8741.2,12984,142.33
9927.9,13225,129.53
