x,y,z
22329,10634,-182.16
22755,10726,-374.03
22344,11176,-217.42
21532,10843,94.966
22925,11221,33.969
21411,10533,290.81
22936,11243,3.6014
22945,11217,65.13
22962,11256,18.54
22940,11247,-336.26
22899,11246,-50.821
24850,10759,-291.74
22919,11231,9.4208
22944,11252,11.762
22944,11209,31.944
22943,11212,31.936
22920,11207,46.369
23930,11084,-345.96
21762,10457,-278.64
24664,10911,-312.14
22351,10950,259.5
22373,10617,78.007
22475,11050,-195.41
22611,11030,-368.01
22379,11146,-33.439
22387,11216,-24.441
22282,11237,-62.388
23108,11049,-225.21
22303,10632,-204.41
21597,10869,-140.01
24097,11003,-371.68
21733,10624,-337
22608,10710,-246.21
23181,10997,-307.22
22725,10762,-326.29
21511,10875,-269.43
22415,10802,-450.81
21118,10854,-444.62
21135,10860,-444.41
22191,10519,-124.77
22350,10929,287.24
22359,11072,-376.27
22373,11082,-428.47
22321,11059,-375.84
22344,11008,-334.98
21290,10559,215.14
24484,10952,-327.68
22515,10652,74.958
22513,10616,75.933
21928,10654,-225.95
21847,10750,-371.32
24489,10879,-351.94
21523,10826,-440.85
21525,10799,-422.68
21569,10950,-168.45
22070,10528,-181.83
20932,10276,258.63
24552,10923,-362.88
22761,10812,220.24
22685,10917,287.29
21291,10798,-330.29
22822,10746,-80.375
21331,10720,-322.41
24752,10898,-304.84
24583,10893,-317.72
21797,10549,-240.01
24929,10805,-296.3
22374,10895,-412.12
22407,10943,-413.59
22828,11095,358.03
23124,10870,-204.59
21576,10956,79.551
24538,10911,-336.49
24806,10849,-244.12
21960,11066,-227.01
22130,10743,-474.73
23299,11099,-229.16
22883,11169,53.825
21534,10386,231.64
22677,10772,-236.24
22291,11172,-33.123
22308,11192,31.613
22661,11166,275.57
23472,11018,-168.09
21487,10636,-393.74
22952,10816,161.07
22385,11190,96.227
22920,11118,204.4
22264,11005,209.87
21619,10521,-489.85
24177,11002,-296.43
22645,10743,142.66
21341,10271,111.9
22640,11150,-346.47
21300,10431,220.64
21188,10803,-27.851
22460,10615,-78.7
22824,10875,-385.81
22725,11207,245.62
21300,10498,281.52
21407,10481,-348.53
22848,11202,127.44
20793,10274,-345.21
22848,11220,-220.88
23021,10840,18.616
21401,10323,-11.915
22222,11114,101.91
21868,11049,-81.289
21872,11031,-152.04
21957,11059,-194.9
22015,11051,-208.42
23569,11086,-200.06
22173,10772,-358.47
21449,10423,-354.93
21363,10366,-334.07
21240,10213,-183.53
23993,11001,-365.87
23470,11011,-66.302
21731,10493,120.53
21728,10442,-210.58
24976,10767,-316.71
24883,10809,-282.31
22149,11111,118.7
24447,10980,-380.41
21517,10836,-313.47
21114,10687,-213.95
23666,11077,-92.599
21495,10511,231.66
21577,10510,248.45
22130,10932,314.78
22083,10924,311.36
24333,11060,-286.04
21869,10881,-63.778
24792,10759,4.6755
22498,10883,-412.14
22439,11092,208.78
21008,10593,-203.26
22259,11014,269.61
21018,10649,-68.926
21321,10881,-156.67
21118,10636,-273.85
25146,10742,-333.68
23153,10853,2.3778
22911,10801,222.55
22057,11124,-16.282
21369,10897,-149.37
21312,10844,136.16
23945,11016,-383.45
24806,10836,-296.97
21737,10981,-17.41
22874,11001,302.55
22987,10923,123.67
22560,10914,-365.48
21283,10855,-13.643
22612,11021,-415.18
22624,11013,-383.48
22663,11022,-444.16
22598,11046,-470.27
22608,11025,-418.52
22618,11067,-425.45
22654,11011,-378.62
21152,10615,-319.17
22633,11051,-413.4
21111,10620,-412.32
22613,11038,-401.43
22645,11002,-391.69
21483,10734,311.88
21282,10527,-348.1
24750,10833,-299.45
21171,10682,-397.57
22852,10865,-351.41
22855,10847,-351.19
22198,11172,33.051
22425,11090,194.39
22439,10837,-392.37
22439,10826,-443.44
22936,11233,-497.09
21783,11062,-348.35
22483,11220,52.828
21484,10716,-342.18
22171,10834,-392.35
22220,11143,-271.31
22348,11126,-322.18
22401,10987,-477.27
22177,10931,-389.85
22830,10847,-418.67
22962,10806,-201.58
21412,10477,292.28
21331,10534,251.4
21282,10578,311.61
22182,11002,313.97
22271,11016,235.65
22570,10918,-439.15
21676,10476,76.707
22018,11071,-220.49
21397,10328,-262.74
22750,10788,230.88
22723,10774,184.27
22733,10782,205.2
21169,10723,3.5303
22721,10772,218.12
22716,10778,206.57
22703,10793,183.55
22363,11162,-28.583
22370,11206,-172.01
20795,10320,-194.35
22284,11007,-361.04
22490,11221,27.574
21372,10590,418.62
22076,10729,-352.24
